OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000779,Sample-Routine,Water,Surface Water,2020-06-02,09:20:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,1100,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001048,Sample-Routine,Water,Surface Water,2020-08-03,10:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,220,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100016,Sample-Routine,Water,Surface Water,2020-10-12,09:34:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Falling stage,Storm,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,7900,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100001,Sample-Routine,Water,Surface Water,2020-10-05,09:55:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,220,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001018,Quality Control Sample-Field Replicate,Water,Surface Water,2020-07-24,07:56:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Falling stage,Storm,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,6000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000392,Sample-Routine,Water,Surface Water,2020-02-03,10:50:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,"L-0350074 Time on WCA, FU, FCC is 0950.",,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,380,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000658,Sample-Routine,Water,Surface Water,2020-04-06,10:45:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,140,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000725,Sample-Routine,Water,Surface Water,2020-04-24,07:15:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Peak stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,7200,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001022,Sample-Routine,Water,Surface Water,2020-07-21,23:10:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Peak stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,14000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001023,Sample-Routine,Water,Surface Water,2020-07-21,21:50:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Rising stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,18000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
